Filename,NDW.eng
ER1_OFTM_C02576_P2Y3W2,90
ER1_OFTM_C02579_P2Y3W2,97
ER1_OFTM_C02588_P2Y3W2,70
ER1_OFTM_C02594_P2Y3W2,124
ER1_OFTM_C02596_P2Y3W2,70
ER1_OFTM_C02599_P2Y3W2,74
ER1_OFTM_C02619_P2Y3W2,90
ER1_OFTM_C02626_P2Y3W2,49
ER1_OFTM_C02637_P2Y3W2,83
ER1_OFTM_C02640_P2Y3W2,96
ER1_OFTM_C02645_P2Y3W2,58
ER1_OFTM_C02647_P2Y3W2,98
ER1_OFTM_C02651_P2Y3W2,87
ER1_OFTM_C02661_P2Y3W2,122
ER1_OFTM_C02663_P2Y3W2,75
ER1_OFTM_C02808_P2Y3W2,73
ER1_OFTM_C02834_P2Y3W2,72
ER1_OFTM_C03008_P2Y3W2,81
ER1_OFTM_C03012_P2Y3W2,81
ER2_FGTD_C00015_P2Y4W2,100
ER2_FGTD_C00020_P2Y4W2,115
ER2_FGTD_C00026_P2Y4W2,100
ER2_FGTD_C00027_P2Y4W2,104
ER2_FGTD_C00031_P2Y4W2,110
ER2_FGTD_C00048_P2Y4W2,88
ER2_FGTD_C00049_P2Y4W2,141
ER2_FGTD_C00055_P2Y4W2,102
ER2_FGTD_C00067_P2Y4W2,105
ER2_FGTD_C00077_P2Y4W2,104
ER2_FGTD_C00082_P2Y4W2,111
ER2_FGTD_C00090_P2Y4W2,96
ER2_FGTD_C00094_P2Y4W2,123
ER2_FGTD_C00119_P2Y4W2,112
ER2_FGTD_C00126_P2Y4W2,102
ER2_FGTD_C00127_P2Y4W2,151
ER2_FGTD_C00135_P2Y4W2,102
ER2_FGTD_C00137_P2Y4W2,122
ER2_FGTD_C00141_P2Y4W2,92
ER2_FGTD_C00146_P2Y4W2,116
ER2_FGTD_C00147_P2Y4W2,123
ER2_FGTD_C00148_P2Y4W2,104
ER2_FGTD_C00152_P2Y4W2,142
ER2_FGTD_C00172_P2Y4W2,101
ER2_FGTD_C00178_P2Y4W2,129
ER2_FGTD_C00179_P2Y4W2,135
ER2_FGTD_C00182_P2Y4W2,90
ER2_FGTD_C00183_P2Y4W2,167
ER2_FGTD_C00188_P2Y4W2,93
ER2_FGTD_C00189_P2Y4W2,78
ER2_FGTD_C00191_P2Y4W2,100
ER2_FGTD_C00192_P2Y4W2,72
ER2_FGTD_C00198_P2Y4W2,123
ER2_FGTD_C00201_P2Y4W2,81
ER2_FGTD_C00209_P2Y4W2,103
ER2_FGTD_C00226_P2Y4W2,119
ER2_FGTD_C00231_P2Y4W2,131
ER2_FGTD_C00235_P2Y4W2,110
ER2_FGTD_C00237_P2Y4W2,128
ER2_FGTD_C00275_P2Y4W2,137
ER2_FGTD_C00372_P2Y4W2,147
ER2_FGTD_C00375_P2Y4W2,154
ER2_FGTD_C00376_P2Y4W2,128
ER2_FGTD_C00379_P2Y4W2,90
ER2_FGTD_C00384_P2Y4W2,104
ER2_FGTD_C00388_P2Y4W2,117
ER2_FGTD_C00392_P2Y4W2,104
ER2_FGTD_C00393_P2Y4W2,132
ER2_FGTD_C00401_P2Y4W2,145
ER2_FGTD_C00409_P2Y4W2,132
ER2_FGTD_C00423_P2Y4W2,105
ER2_FGTD_C00433_P2Y4W2,95
ER2_FGTD_C00439_P2Y4W2,91
ER2_FGTD_C00445_P2Y4W2,101
ER2_FGTD_C00466_P2Y4W2,121
ER2_FGTD_C00476_P2Y4W2,114
ER2_FGTD_C00503_P2Y4W2,112
ER2_FGTD_C00507_P2Y4W2,119
ER2_FGTD_C00523_P2Y4W2,74
ER2_FGTD_C00552_P2Y4W2,90
ER2_FGTD_C00564_P2Y4W2,93
ER2_FGTD_C00589_P2Y4W2,125
ER2_FGTD_C00598_P2Y4W2,141
ER2_FGTD_C00600_P2Y4W2,102
ER2_FGTD_C00605_P2Y4W2,116
ER2_FGTD_C00633_P2Y4W2,101
ER2_FGTD_C00642_P2Y4W2,125
ER2_FGTD_C00652_P2Y4W2,133
ER2_FGTD_C00657_P2Y4W2,113
ER2_FGTD_C00672_P2Y4W2,152
ER2_FGTD_C00683_P2Y4W2,100
ER2_FGTD_C00692_P2Y4W2,90
ER2_FGTD_C00741_P2Y4W2,109
ER2_FGTD_C00748_P2Y4W2,114
ER2_FGTD_C00753_P2Y4W2,111
ER2_FGTD_C00790_P2Y4W2,115
ER2_FGTD_C00793_P2Y4W2,96
ER2_FGTD_C00826_P2Y4W2,94
ER2_FGTD_C00828_P2Y4W2,113
ER2_FGTD_C00837_P2Y4W2,100
ER2_FGTD_C00853_P2Y4W2,93
ER2_FGTD_C00857_P2Y4W2,114
ER2_FGTD_C00919_P2Y4W2,87
ER2_FGTD_C00931_P2Y4W2,100
ER2_FGTD_C00973_P2Y4W2,115
ER2_FGTD_C00976_P2Y4W2,123
ER2_FGTD_C00992_P2Y4W2,145
ER2_FGTD_C00999_P2Y4W2,129
ER2_FGTD_C01003_P2Y4W2,132
ER2_FGTD_C01006_P2Y4W2,112
ER2_FGTD_C01018_P2Y4W2,121
ER2_FGTD_C01031_P2Y4W2,71
ER2_FGTD_C01053_P2Y4W2,72
ER2_FGTD_C01056_P2Y4W2,0
ER2_FGTD_C01078_P2Y4W2,104
ER2_FGTD_C01094_P2Y4W2,106
ER2_FGTD_C01103_P2Y4W2,128
ER2_FGTD_C01104_P2Y4W2,116
ER2_FGTD_C01108_P2Y4W2,118
ER2_FGTD_C01121_P2Y4W2,116
ER2_FGTD_C01125_P2Y4W2,126
ER2_FGTD_C01127_P2Y4W2,102
ER2_FGTD_C01160_P2Y4W2,122
ER2_FGTD_C01162_P2Y4W2,113
ER2_FGTD_C01171_P2Y4W2,110
ER2_FGTD_C01185_P2Y4W2,86
ER2_FGTD_C01211_P2Y4W2,118
ER2_FGTD_C01222_P2Y4W2,137
ER2_FGTD_C01226_P2Y4W2,119
ER2_FGTD_C01262_P2Y4W2,108
ER2_FGTD_C01265_P2Y4W2,135
ER2_FGTD_C01294_P2Y4W2,71
ER2_FGTD_C01298_P2Y4W2,103
ER2_FGTD_C01336_P2Y4W2,127
ER2_FGTD_C02230_P2Y4W2,118
ER2_FGTD_C02232_P2Y4W2,93
ER2_FGTD_C02234_P2Y4W2,106
ER2_FGTD_C02239_P2Y4W2,83
ER2_FGTD_C02255_P2Y4W2,100
ER2_FGTD_C02262_P2Y4W2,105
ER2_FGTD_C02267_P2Y4W2,120
ER2_FGTD_C02274_P2Y4W2,88
ER2_FGTD_C02276_P2Y4W2,81
ER2_FGTD_C02278_P2Y4W2,79
ER2_FGTD_C02279_P2Y4W2,98
ER2_FGTD_C02282_P2Y4W2,131
ER2_FGTD_C02287_P2Y4W2,56
ER2_FGTD_C02295_P2Y4W2,95
ER2_FGTD_C02297_P2Y4W2,132
ER2_FGTD_C02315_P2Y4W2,121
ER2_FGTD_C02325_P2Y4W2,116
ER2_FGTD_C02335_P2Y4W2,107
ER2_FGTD_C02351_P2Y4W2,101
ER2_FGTD_C02352_P2Y4W2,134
ER2_FGTD_C02356_P2Y4W2,98
ER2_FGTD_C02359_P2Y4W2,93
ER2_FGTD_C02363_P2Y4W2,110
ER2_FGTD_C02364_P2Y4W2,114
ER2_FGTD_C02365_P2Y4W2,145
ER2_FGTD_C02368_P2Y4W2,78
ER2_FGTD_C02373_P2Y4W2,138
ER2_FGTD_C02376_P2Y4W2,106
ER2_FGTD_C02378_P2Y4W2,100
ER2_FGTD_C02381_P2Y4W2,108
ER2_FGTD_C02383_P2Y4W2,88
ER2_FGTD_C02384_P2Y4W2,99
ER2_FGTD_C02386_P2Y4W2,98
ER2_FGTD_C02388_P2Y4W2,120
ER2_FGTD_C02389_P2Y4W2,117
ER2_FGTD_C02397_P2Y4W2,114
ER2_FGTD_C02415_P2Y4W2,94
ER2_FGTD_C02416_P2Y4W2,84
ER2_FGTD_C02423_P2Y4W2,101
ER2_FGTD_C02425_P2Y4W2,103
ER2_FGTD_C02426_P2Y4W2,115
ER2_FGTD_C02434_P2Y4W2,112
ER2_FGTD_C02442_P2Y4W2,118
ER2_FGTD_C02443_P2Y4W2,95
ER2_FGTD_C02448_P2Y4W2,131
ER2_FGTD_C02449_P2Y4W2,101
ER2_FGTD_C02450_P2Y4W2,132
ER2_FGTD_C02475_P2Y4W2,117
ER2_FGTD_C02476_P2Y4W2,116
ER2_FGTD_C02478_P2Y4W2,126
ER2_FGTD_C02479_P2Y4W2,100
ER2_FGTD_C02481_P2Y4W2,113
ER2_FGTD_C02482_P2Y4W2,114
ER2_FGTD_C02483_P2Y4W2,74
ER2_FGTD_C02484_P2Y4W2,120
ER2_FGTD_C02488_P2Y4W2,84
ER2_FGTD_C02489_P2Y4W2,90
ER2_FGTD_C02492_P2Y4W2,111
ER2_FGTD_C02493_P2Y4W2,101
ER2_FGTD_C02496_P2Y4W2,106
ER2_FGTD_C02498_P2Y4W2,98
ER2_FGTD_C02502_P2Y4W2,76
ER2_FGTD_C02503_P2Y4W2,83
ER2_FGTD_C02506_P2Y4W2,83
ER2_FGTD_C02507_P2Y4W2,115
ER2_FGTD_C02551_P2Y4W2,110
ER2_FGTD_C02552_P2Y4W2,96
ER2_FGTD_C02576_P2Y4W2,94
ER2_FGTD_C02579_P2Y4W2,135
ER2_FGTD_C02588_P2Y4W2,115
ER2_FGTD_C02594_P2Y4W2,100
ER2_FGTD_C02596_P2Y4W2,84
ER2_FGTD_C02599_P2Y4W2,68
ER2_FGTD_C02619_P2Y4W2,94
ER2_FGTD_C02626_P2Y4W2,87
ER2_FGTD_C02637_P2Y4W2,78
ER2_FGTD_C02640_P2Y4W2,147
ER2_FGTD_C02645_P2Y4W2,103
ER2_FGTD_C02647_P2Y4W2,102
ER2_FGTD_C02651_P2Y4W2,121
ER2_FGTD_C02661_P2Y4W2,109
ER2_FGTD_C02663_P2Y4W2,95
ER2_FGTD_C02808_P2Y4W2,116
ER2_FGTD_C02834_P2Y4W2,125
ER2_FGTD_C03008_P2Y4W2,100
ER2_FGTD_C03012_P2Y4W2,111
ER2_FWAY_C00015_P2Y4W1,83
ER2_FWAY_C00020_P2Y4W1,127
ER2_FWAY_C00026_P2Y4W1,79
ER2_FWAY_C00027_P2Y4W1,103
ER2_FWAY_C00031_P2Y4W1,111
ER2_FWAY_C00048_P2Y4W1,74
ER2_FWAY_C00049_P2Y4W1,100
ER2_FWAY_C00055_P2Y4W1,58
ER2_FWAY_C00067_P2Y4W1,68
ER2_FWAY_C00077_P2Y4W1,93
ER2_FWAY_C00082_P2Y4W1,100
ER2_FWAY_C00090_P2Y4W1,78
ER2_FWAY_C00094_P2Y4W1,91
ER2_FWAY_C00119_P2Y4W1,85
ER2_FWAY_C00126_P2Y4W1,89
ER2_FWAY_C00127_P2Y4W1,92
ER2_FWAY_C00135_P2Y4W1,83
ER2_FWAY_C00137_P2Y4W1,79
ER2_FWAY_C00141_P2Y4W1,77
ER2_FWAY_C00146_P2Y4W1,61
ER2_FWAY_C00147_P2Y4W1,83
ER2_FWAY_C00148_P2Y4W1,68
ER2_FWAY_C00152_P2Y4W1,112
ER2_FWAY_C00172_P2Y4W1,71
ER2_FWAY_C00178_P2Y4W1,107
ER2_FWAY_C00179_P2Y4W1,105
ER2_FWAY_C00182_P2Y4W1,73
ER2_FWAY_C00183_P2Y4W1,145
ER2_FWAY_C00188_P2Y4W1,105
ER2_FWAY_C00189_P2Y4W1,65
ER2_FWAY_C00191_P2Y4W1,62
ER2_FWAY_C00192_P2Y4W1,70
ER2_FWAY_C00198_P2Y4W1,77
ER2_FWAY_C00201_P2Y4W1,62
ER2_FWAY_C00209_P2Y4W1,70
ER2_FWAY_C00226_P2Y4W1,74
ER2_FWAY_C00231_P2Y4W1,91
ER2_FWAY_C00235_P2Y4W1,63
ER2_FWAY_C00237_P2Y4W1,101
ER2_FWAY_C00275_P2Y4W1,120
ER2_FWAY_C00372_P2Y4W1,117
ER2_FWAY_C00375_P2Y4W1,117
ER2_FWAY_C00376_P2Y4W1,98
ER2_FWAY_C00379_P2Y4W1,76
ER2_FWAY_C00384_P2Y4W1,60
ER2_FWAY_C00388_P2Y4W1,94
ER2_FWAY_C00392_P2Y4W1,87
ER2_FWAY_C00393_P2Y4W1,91
ER2_FWAY_C00401_P2Y4W1,118
ER2_FWAY_C00409_P2Y4W1,85
ER2_FWAY_C00423_P2Y4W1,83
ER2_FWAY_C00433_P2Y4W1,90
ER2_FWAY_C00439_P2Y4W1,91
ER2_FWAY_C00445_P2Y4W1,66
ER2_FWAY_C00466_P2Y4W1,109
ER2_FWAY_C00476_P2Y4W1,111
ER2_FWAY_C00503_P2Y4W1,102
ER2_FWAY_C00507_P2Y4W1,127
ER2_FWAY_C00523_P2Y4W1,74
ER2_FWAY_C00552_P2Y4W1,71
ER2_FWAY_C00564_P2Y4W1,111
ER2_FWAY_C00589_P2Y4W1,73
ER2_FWAY_C00598_P2Y4W1,113
ER2_FWAY_C00600_P2Y4W1,116
ER2_FWAY_C00605_P2Y4W1,101
ER2_FWAY_C00633_P2Y4W1,105
ER2_FWAY_C00642_P2Y4W1,126
ER2_FWAY_C00652_P2Y4W1,111
ER2_FWAY_C00657_P2Y4W1,120
ER2_FWAY_C00672_P2Y4W1,126
ER2_FWAY_C00683_P2Y4W1,104
ER2_FWAY_C00692_P2Y4W1,75
ER2_FWAY_C00741_P2Y4W1,119
ER2_FWAY_C00748_P2Y4W1,92
ER2_FWAY_C00753_P2Y4W1,102
ER2_FWAY_C00790_P2Y4W1,91
ER2_FWAY_C00793_P2Y4W1,81
ER2_FWAY_C00826_P2Y4W1,68
ER2_FWAY_C00828_P2Y4W1,109
ER2_FWAY_C00837_P2Y4W1,114
ER2_FWAY_C00853_P2Y4W1,118
ER2_FWAY_C00857_P2Y4W1,82
ER2_FWAY_C00919_P2Y4W1,74
ER2_FWAY_C00931_P2Y4W1,100
ER2_FWAY_C00973_P2Y4W1,99
ER2_FWAY_C00976_P2Y4W1,99
ER2_FWAY_C00992_P2Y4W1,118
ER2_FWAY_C00999_P2Y4W1,88
ER2_FWAY_C01003_P2Y4W1,89
ER2_FWAY_C01006_P2Y4W1,101
ER2_FWAY_C01018_P2Y4W1,102
ER2_FWAY_C01031_P2Y4W1,60
ER2_FWAY_C01053_P2Y4W1,66
ER2_FWAY_C01056_P2Y4W1,84
ER2_FWAY_C01078_P2Y4W1,94
ER2_FWAY_C01094_P2Y4W1,82
ER2_FWAY_C01103_P2Y4W1,74
ER2_FWAY_C01104_P2Y4W1,109
ER2_FWAY_C01108_P2Y4W1,87
ER2_FWAY_C01121_P2Y4W1,106
ER2_FWAY_C01125_P2Y4W1,88
ER2_FWAY_C01127_P2Y4W1,68
ER2_FWAY_C01160_P2Y4W1,104
ER2_FWAY_C01162_P2Y4W1,107
ER2_FWAY_C01171_P2Y4W1,95
ER2_FWAY_C01185_P2Y4W1,85
ER2_FWAY_C01211_P2Y4W1,86
ER2_FWAY_C01222_P2Y4W1,95
ER2_FWAY_C01226_P2Y4W1,115
ER2_FWAY_C01262_P2Y4W1,78
ER2_FWAY_C01265_P2Y4W1,117
ER2_FWAY_C01294_P2Y4W1,60
ER2_FWAY_C01298_P2Y4W1,64
ER2_FWAY_C01336_P2Y4W1,97
ER2_FWAY_C02230_P2Y4W1,83
ER2_FWAY_C02232_P2Y4W1,79
ER2_FWAY_C02234_P2Y4W1,70
ER2_FWAY_C02239_P2Y4W1,66
ER2_FWAY_C02255_P2Y4W1,71
ER2_FWAY_C02262_P2Y4W1,71
ER2_FWAY_C02267_P2Y4W1,89
ER2_FWAY_C02274_P2Y4W1,97
ER2_FWAY_C02276_P2Y4W1,86
ER2_FWAY_C02278_P2Y4W1,75
ER2_FWAY_C02279_P2Y4W1,78
ER2_FWAY_C02282_P2Y4W1,88
ER2_FWAY_C02287_P2Y4W1,52
ER2_FWAY_C02295_P2Y4W1,98
ER2_FWAY_C02297_P2Y4W1,91
ER2_FWAY_C02315_P2Y4W1,116
ER2_FWAY_C02325_P2Y4W1,128
ER2_FWAY_C02335_P2Y4W1,122
ER2_FWAY_C02351_P2Y4W1,89
ER2_FWAY_C02352_P2Y4W1,88
ER2_FWAY_C02356_P2Y4W1,89
ER2_FWAY_C02359_P2Y4W1,70
ER2_FWAY_C02363_P2Y4W1,119
ER2_FWAY_C02364_P2Y4W1,81
ER2_FWAY_C02365_P2Y4W1,132
ER2_FWAY_C02368_P2Y4W1,52
ER2_FWAY_C02373_P2Y4W1,109
ER2_FWAY_C02376_P2Y4W1,79
ER2_FWAY_C02378_P2Y4W1,84
ER2_FWAY_C02381_P2Y4W1,106
ER2_FWAY_C02383_P2Y4W1,95
ER2_FWAY_C02384_P2Y4W1,91
ER2_FWAY_C02386_P2Y4W1,85
ER2_FWAY_C02388_P2Y4W1,95
ER2_FWAY_C02389_P2Y4W1,116
ER2_FWAY_C02397_P2Y4W1,96
ER2_FWAY_C02415_P2Y4W1,71
ER2_FWAY_C02416_P2Y4W1,71
ER2_FWAY_C02423_P2Y4W1,71
ER2_FWAY_C02425_P2Y4W1,79
ER2_FWAY_C02426_P2Y4W1,103
ER2_FWAY_C02434_P2Y4W1,69
ER2_FWAY_C02442_P2Y4W1,88
ER2_FWAY_C02443_P2Y4W1,64
ER2_FWAY_C02448_P2Y4W1,91
ER2_FWAY_C02449_P2Y4W1,93
ER2_FWAY_C02450_P2Y4W1,127
ER2_FWAY_C02475_P2Y4W1,77
ER2_FWAY_C02476_P2Y4W1,72
ER2_FWAY_C02478_P2Y4W1,107
ER2_FWAY_C02479_P2Y4W1,82
ER2_FWAY_C02481_P2Y4W1,82
ER2_FWAY_C02482_P2Y4W1,93
ER2_FWAY_C02483_P2Y4W1,70
ER2_FWAY_C02484_P2Y4W1,59
ER2_FWAY_C02488_P2Y4W1,94
ER2_FWAY_C02489_P2Y4W1,70
ER2_FWAY_C02492_P2Y4W1,74
ER2_FWAY_C02493_P2Y4W1,75
ER2_FWAY_C02496_P2Y4W1,98
ER2_FWAY_C02498_P2Y4W1,70
ER2_FWAY_C02502_P2Y4W1,66
ER2_FWAY_C02503_P2Y4W1,63
