Subject.Code,theta,alpha,beta
060416_1m_9y,0.995267712,0.045882644,-0.371234442
031117_1f_9y,0.112201858,0.002720405,0.00406954
022517_1f_9y,2.036781338,-0.051611267,0.522393596
091617_2f_10y,0.027046546,-0.307132686,-0.018036949
060418_2m_11y,0.136529759,-0.035825209,-0.015147779
072117_1f_11y,0.808012838,-1.070170145,0.490945091
062916_2m_11y,0.922818439,0.178160994,0.226745832
062918_1m_12y,0.003222532,-0.006709989,-0.012964593
030918_2m_13y,0.526195371,-0.179127681,-0.106803043
062317_1m_13y,0.025895596,-0.362036337,-0.052726372
060617_1m_13y,-0.147075605,0.059910006,0.022118529
102916_1m_14y,-0.118067567,-0.482349558,-0.162688819
080317_2f_14y,-0.026763117,-0.07970971,-0.022450633
032617_2f_14y,0.000146964,-0.00241646,0.000203191
060416_4f_14y,0.033843408,-0.00960738,0.021978394
102216_1f_14y,-0.008876793,-0.031884901,-0.070337433
062916_1f_14y,0.047494813,-0.053064327,-0.011184048
102316_1f_14y,0.704804723,0.252656073,-0.024185515
030918_3f_15y,-0.066185788,-0.018605308,0.000154847
071517_3m_15y,0.09700311,-0.146422571,-0.074642819
102016_1m_15y,0.007978146,0.032142405,-0.012035133
090917_1m_15y,0.19014663,0.153179383,0.012187727
030918_1f_8y,0.504618787,0.033305418,-1.41182366
061517_1f_8y,-0.045359618,-0.018006282,0.003464136
072117_2f_9y,-2.414750543,-3.295054963,-0.18141633
070918_2f_10y,-0.150203672,-2.141586262,-0.289262501
040817_1f_10y,-0.19455408,0.030691021,-0.083772385
062217_1m_10y,0.058296937,-0.269849481,0.077923316
070518_1f_10y,-0.017970542,0.003098271,0.017729096
080416_1m_11y,0.055610952,-0.172227218,-0.080998664
062017_2f_11y,0.110403591,0.014724154,-0.017770128
061317_1f_11y,0.073668728,0.010314033,-0.001224283
070918_1f_12y,0.049714929,0.106221083,0.050978566
031318_1m_12y,-0.021171474,-1.098656517,-0.557788445
111216_2m_12y,-1.253258741,-1.214196897,-0.946272091
080317_3f_12y,-0.061124532,-0.027264913,0.002008862
101316_1f_12y,-0.089859012,-0.009558097,-0.00594155
031318_2f_12y,-0.375535651,-0.31723222,-0.005274255
060416_3f_13y,-0.304328206,-0.182619613,-0.246029565
101616_2m_13y,-0.796923683,-2.133009867,-0.038147874
060418_1f_13y,-0.019243848,-0.01916543,-0.003056739
101616_1f_14y,0.403128632,0.158923462,0.01562457
040217_1f_14y,0.148503894,-0.456957341,-0.005172041
032617_1f_15y,-0.088207167,-0.235163412,-0.036862189