subject_ID,info_total,ped_total,rhet_total,info_wh,ped_wh,rhet_wh,info_no,ped_no,rhet_no
sllip_002,4,7,14,3,5,3,1,2,11
sllip_004,6,0,23,6,0,9,0,0,14
sllip_005,6,0,7,5,0,3,1,0,4
sllip_006,17,12,35,14,10,1,3,2,34
sllip_007,14,12,41,11,6,35,3,6,6
sllip_008,20,0,39,19,0,4,1,0,35
sllip_009,9,2,18,11,2,1,-2,0,17
sllip_010,21,20,52,18,18,6,3,2,46
sllip_011,35,7,51,6,1,4,29,6,47
sllip_013,7,4,22,7,4,3,0,0,19
sllip_014,1,0,13,1,0,0,0,0,13
sllip_015,16,6,49,15,6,8,1,0,41
sllip_016,6,5,22,4,4,4,2,1,18
sllip_017,3,2,26,3,2,4,0,0,22
sllip_018,29,6,20,22,5,6,7,1,14
sllip_023,8,3,28,7,3,6,1,0,22
sllip_025,11,4,28,8,2,5,3,2,23
sllip_026,13,1,17,11,1,1,2,0,16
sllip_027,4,0,13,1,0,0,3,0,13
sllip_029,4,0,7,2,0,1,2,0,6
sllip_030,15,2,17,13,2,2,2,0,15
sllip_032,7,7,22,3,8,2,4,-1,20
sllip_035,16,2,14,9,2,2,7,0,12
sllip_038,14,3,26,13,1,1,1,2,25
sllip_039,17,19,37,16,15,7,1,4,30
sllip_040,5,6,3,4,5,1,1,1,2
sllip_041,8,0,27,8,0,3,0,0,24
sllip_042,23,7,57,20,3,4,3,4,53
sllip_046,8,3,16,6,2,3,2,1,13
sllip_049,16,0,34,16,0,6,0,0,28
sllip_050,10,2,33,10,2,6,0,0,27
sllip_051,9,5,13,9,3,2,0,2,11
sllip_054,15,3,32,13,3,10,2,0,22
sllip_060,5,4,3,5,4,1,0,0,2