DELV Priority,subject_ID,WH-question,Passive,Article
1,sllip_002,18,5,8
1,sllip_004,4,9,3
1,sllip_005,18,9,6
1,sllip_006,14,6,7
1,sllip_007,10,4,4
1,sllip_008,12,5,7
1,sllip_009,10,7,5
1,sllip_010,14,7,5
1,sllip_011,20,10,8
1,sllip_012,16,10,8
1,sllip_013,20,8,5
1,sllip_014,14,8,6
1,sllip_015,18,6,8
1,sllip_016,18,7,8
1,sllip_017,12,9,6
1,sllip_018,18,10,6
1,sllip_023,20,8,8
1,sllip_025,16,10,7
1,sllip_026,16,9,8
1,sllip_027,6,6,3
1,sllip_029,20,3,5
1,sllip_030,12,10,8
1,sllip_035,16,4,3
1,sllip_038,18,8,2
1,sllip_039,20,9,8
1,sllip_040,18,9,7
1,sllip_041,8,6,5
1,sllip_042,12,8,7
1,sllip_046,20,9,8
1,sllip_049,20,10,8
1,sllip_050,18,9,8
1,sllip_051,20,10,6
1,sllip_053,20,9,8
1,sllip_060,14,5,8
,sllip_054,14,8,8