subject_ID,WHCH,WHWA,WHWR,WHY,WHO,WHN,WHH,SUM OF WH,TOTAL QUESTIONS (,NON-WH SUM,wh/total
SLLIP_002_CHILD,0,3,3,0,0,0,0,6,18,12,0.333
SLLIP_002_PARENT,0,11,1,1,1,0,3,17,37,20,0.459
SLLIP_004_CHILD,1,6,0,0,0,0,0,7,15,8,0.467
SLLIP_004_PARENT,0,12,0,0,0,0,0,12,29,17,0.414
SLLIP_005_CHILD,0,6,6,3,1,0,0,16,32,16,0.5
SLLIP_005_PARENT,0,5,1,1,0,0,2,9,17,8,0.529
SLLIP_006_CHILD,0,8,2,1,0,1,1,13,21,8,0.619
SLLIP_006_PARENT,0,16,2,0,1,0,8,27,75,48,0.36
SLLIP_007_CHILD,1,6,2,1,0,1,2,13,30,17,0.433
SLLIP_007_PARENT,3,12,0,3,2,0,8,28,79,51,0.354
SLLIP_008_CHILD,0,1,0,3,0,0,1,5,10,5,0.5
SLLIP_008_PARENT,2,15,2,2,0,1,2,24,66,42,0.364
SLLIP_009_CHILD,0,0,0,1,1,0,0,2,6,4,0.333
SLLIP_009_PARENT,0,9,0,0,0,0,3,12,31,19,0.387
SLLIP_010_CHILD,1,2,0,0,0,0,0,3,7,4,0.429
SLLIP_010_PARENT,9,23,2,0,1,1,8,44,97,53,0.454
SLLIP_011_CHILD,0,1,1,0,0,0,2,4,9,5,0.444
SLLIP_011_PARENT,0,28,1,5,0,1,4,39,95,56,0.411
SLLIP_013_CHILD,0,1,0,2,0,0,0,3,4,1,0.75
SLLIP_013_PARENT,1,11,1,1,0,0,2,16,38,22,0.421
SLLIP_014 CHILD,0,3,0,0,0,0,2,5,9,4,0.556
SLLIP_014_PARENT,0,0,0,0,0,0,1,1,15,14,0.067
SLLIP_015_CHILD,0,0,0,0,0,0,0,0,12,12,0
SLLIP_015_PARENT,5,16,1,4,0,2,4,32,72,40,0.444
SLLIP_016 CHILD,1,1,2,1,0,0,2,7,19,12,0.368
SLLIP_016 PARENT,1,8,1,0,0,0,2,12,33,21,0.364
SLLIP_017_CHILD,0,0,0,1,0,0,1,2,4,2,0.5
SLLIP_017_PARENT,0,4,1,0,0,0,0,5,35,30,0.142857143
SLLIP_018_CHILD,0,3,1,0,0,0,2,6,16,10,0.375
SLLIP_018_PARENT,0,28,2,0,0,0,5,35,57,22,0.614
SLLIP_019 CHILD,0,6,0,0,1,0,1,8,31,23,0.258
SLLIP_019 PARENT,0,5,2,0,1,0,3,11,30,19,0.367
SLLIP_023_CHILD,0,1,0,2,0,0,0,3,11,8,0.273
SLLIP_023_PARENT,0,13,0,1,0,0,0,14,45,31,0.311
SLLIP_024 CHILD,0,5,0,1,0,0,0,6,19,13,0.316
SLLIP_024_PARENT,0,18,0,0,0,0,0,18,48,30,0.375
SLLIP_025_CHILD,0,3,0,2,0,0,4,9,18,9,0.5
SLLIP_025_PARENT,0,10,0,1,0,1,3,15,48,33,0.313
SLLIP_026 CHILD,0,5,0,0,1,0,2,8,17,9,0.471
SLLIP_026 PARENT,0,15,0,0,0,0,0,15,36,21,0.417
SLLIP_027 CHILD,0,0,1,3,0,0,3,7,11,4,0.636
SLLIP_027 PARENT,1,0,0,1,0,0,0,2,19,17,0.105
SLLIP_029 CHILD,1,3,0,0,1,0,0,5,19,14,0.263
SLLIP_029 PARENT,0,1,1,0,0,0,1,3,17,14,0.176
SLLIP_030 CHILD,0,5,2,1,0,0,2,10,22,12,0.455
SLLIP_030 PARENT,1,12,1,1,0,1,2,18,39,21,0.462
SLLIP_037 CHILD,0,6,1,0,0,0,1,8,18,10,0.444
SLLIP_037 PARENT,3,27,1,5,2,0,11,49,82,33,0.598
SLLIP_038 CHILD,0,2,3,0,0,0,2,7,8,1,0.875
SLLIP_038 PARENT,1,10,2,1,0,0,2,16,44,28,0.364
SLLIP_039 CHILD,1,4,1,0,0,0,5,11,22,11,0.5
SLLIP_039 PARENT,2,36,1,0,0,0,5,44,80,36,0.55
SLLIP_046 CHILD,0,8,0,0,0,0,0,8,13,5,0.615
SLLIP_046 PARENT,2,6,1,1,0,0,1,11,32,21,0.344
SLLIP_047 CHILD,0,3,0,0,0,0,0,3,5,2,0.6
SLLIP_047 PARENT,1,14,1,1,0,0,3,20,48,28,0.417
SLLIP_049 CHILD,0,8,0,0,1,1,2,12,24,12,0.5
SLLIP_049 PARENT,1,16,1,0,1,0,3,21,54,33,0.389
SLLIP_050 CHILD,0,3,0,1,0,0,0,4,6,2,0.667
SLLIP_050 PARENT,0,14,1,0,0,0,2,17,47,30,0.362
SLLIP_051 CHILD,0,7,1,0,0,0,6,14,20,6,0.7
SLLIP_051 PARENT,0,8,0,1,1,0,3,13,30,17,0.433
SLLIP_054 CHILD,0,5,0,2,0,0,1,8,20,12,0.4
SLLIP_054 PARENT,0,16,2,1,0,0,5,24,58,34,0.414
SLLIP_060 CHILD,0,10,2,15,0,0,2,29,36,7,0.806
SLLIP_060 PARENT,0,7,0,2,1,0,0,10,13,3,0.769
SLLIP_035 CHILD,1,1,2,1,1,3,4,13,21,8,0.619047619
SLLIP_035 PARENT,1,6,0,1,1,0,4,13,33,20,0.393939394
SLLIP_032_CHILD,1,0,0,0,0,0,0,1,27,26,0.037037037
SLLIP_032_PARENT,0,11,0,1,0,0,2,14,40,26,0.35
SLLIP_040_CHILD,0,3,0,1,0,0,0,4,7,3,0.571428571
SLLIP_040_PARENT,0,9,0,0,0,1,0,10,15,5,0.666666667
SLLIP_041_CHILD,0,0,0,1,0,0,0,1,7,6,0.142857143
SLLIP_041_PARENT,0,9,2,0,0,0,0,11,35,24,0.314285714
SLLIP_042_CHILD,0,6,2,0,0,0,2,10,32,22,0.3125
SLLIP_042_PARENT,0,14,2,3,1,0,7,27,89,62,0.303370787