Unrelated_ERP,Related_ERP,ERP_diff,Unrelated_ERSP,Related_ERSP,ERSP_diff
-1.8425,-0.9375,0.905,-0.101868938,-0.575986114,-0.474117176
-0.09,0.5375,0.6275,0.357699334,0.714548244,0.35684891
1.555,0.065,-1.49,-0.144213409,0.209737381,0.353950791
0.935,-0.935,-1.87,0.047066759,0.200773391,0.153706632
-1.38,-1.7175,-0.3375,-0.168709257,0.321672307,0.490381563
0.14,0.12,-0.02,0.163557312,0.136784749,-0.026772564
-0.0925,-0.675,-0.5825,0.162366595,0.69525844,0.532891845
-0.65,-0.565,0.085,0.92372842,-0.245576142,-1.169304561
0.96,-0.035,-0.995,0.401302941,-1.210077417,-1.611380358
-0.27,0.415,0.685,1.172996968,-0.219660305,-1.392657273
-0.5025,-2.455,-1.9525,0.558027328,-0.218638889,-0.776666217
-0.045,-0.395,-0.35,0.194425508,0.199007682,0.004582174
-0.4625,-0.075,0.3875,-0.132562112,-0.693199407,-0.560637296
1.2,-1.0475,-2.2475,0.049829122,-0.862261253,-0.912090375
0.935,0.2575,-0.6775,-0.355594758,-0.34804511,0.007549648
0.675,-0.355,-1.03,0.672519037,0.136456144,-0.536062893
1.6875,-0.62,-2.3075,-0.286495248,0.147806214,0.434301462
-0.3675,1.0425,1.41,-0.00555962,-0.23749765,-0.231938029
-1.38,-1.1275,0.2525,-0.091522772,0.107032282,0.198555054
-1.1625,-0.4875,0.675,-0.409101488,-1.209652574,-0.800551085
0.3975,0.515,0.1175,0.828280031,0.243145071,-0.58513496
-0.6675,0.0325,0.7,0.026886068,0.090603595,0.063717526
-0.3625,-0.94,-0.5775,0.52834946,-0.418681387,-0.947030846
-0.15,-0.1075,0.0425,0.267753039,-0.382868326,-0.650621365
-0.21,-0.29,-0.08,-0.145017339,-0.095452829,0.04956451
0.4725,0.17,-0.3025,-0.523926017,-1.259304841,-0.735378824
-1.07,-0.6225,0.4475,0.444987234,-0.713495442,-1.158482676
0.9375,0.3125,-0.625,1.015112607,-0.854365426,-1.869478032
0.2725,-0.8275,-1.1,0.100067415,-0.495018715,-0.595086131
0.1425,0.035,-0.1075,1.051281633,-0.931090254,-1.982371886
-0.175,0.0725,0.2475,0.631013267,-0.347988592,-0.979001858