bin2_Not_Related__FP2,bin2_Not_Related__AF4,bin2_Not_Related__F4,bin2_Not_Related__F8,ERP_Not_Related,bin4_Related__FP2,bin4_Related__AF4,bin4_Related__F4,bin4_Related__F8,ERP_Related,ERP_Diff,ERSP_Unrelated,ERSP_Related,ERSP_Diff
1.48,2.42,2.64,1.52,2.015,0.28,0.56,0.8,2.2,0.96,-1.055,-0.312539597,-0.477839173,-0.165299576
-0.19,-0.27,-0.87,1.76,0.1075,-0.89,-0.86,-1.02,0.19,-0.645,-0.7525,0.107714426,-0.114596046,-0.222310472
1.95,1.36,0.78,-2.83,0.315,-0.41,-2.43,-1.54,-4.21,-2.1475,-2.4625,-0.248871495,1.343942693,1.592814188
0.56,0.97,1.01,0.24,0.695,-0.24,0.12,0.6,1.36,0.46,-0.235,0.090098534,-0.124616731,-0.214715265
0.71,2.21,-0.16,0.8,0.89,1.45,2.96,0.85,0.39,1.4125,0.5225,0.209887642,-0.135590677,-0.345478319
-0.84,-0.64,-0.64,-0.49,-0.6525,-0.18,-0.18,-0.4,0.08,-0.17,0.4825,0.069781519,0.264567099,0.19478558
0.28,0.1,0,0.23,0.1525,1.96,1.17,0.61,0.6,1.085,0.9325,0.51907075,0.20391446,-0.31515629
-0.02,-0.18,-0.07,-0.57,-0.21,1.16,1.13,0.69,0.65,0.9075,1.1175,0.504880672,-0.62259726,-1.127477932
-0.61,-2.12,-0.19,-0.09,-0.7525,2.05,0.35,0.12,0.75,0.8175,1.57,-0.237069356,-0.5988719,-0.361802544
-0.68,-1.17,-0.68,-2.35,-1.22,-0.81,-0.85,-0.7,0.75,-0.4025,0.8175,0.921314392,-0.757673992,-1.678988384
-4.04,-3.92,-3.54,-3.22,-3.68,3.24,3.1,3.06,3.18,3.145,6.825,0.557124246,-0.392048959,-0.949173205
1.39,1.05,1.47,0.57,1.12,1.04,0.83,0.56,0.44,0.7175,-0.4025,0.379835122,-0.079945162,-0.459780284
1.12,1.71,1.45,1,1.32,3.38,4.23,3.32,2.89,3.455,2.135,0.028167637,-0.776663216,-0.804830853
0.97,0.6,-2.02,2.67,0.555,0.38,0.18,0.01,0.56,0.2825,-0.2725,-0.066183863,-1.426786528,-1.360602665
-1.03,-1.28,-1.07,-0.11,-0.8725,-2.18,-1,-0.63,0.01,-0.95,-0.0775,-0.429219481,0.45551792,0.884737401
-1.19,-1.74,-2.59,-0.84,-1.59,0.23,0.26,0.07,0.74,0.325,1.915,0.294464651,0.133684555,-0.160780096
0.05,-2.15,-2.37,1.14,-0.8325,-0.12,-1.2,-1.62,0.22,-0.68,0.1525,-0.449758419,-0.099624343,0.350134076
1.69,1.58,1.57,1.82,1.665,0.31,0.02,0.2,1.2,0.4325,-1.2325,-0.552740537,-0.235586431,0.317154106
3.57,4.41,3.78,4.36,4.03,2.16,3.19,1.81,2.86,2.505,-1.525,-0.409012221,-0.251686593,0.157325628
1.17,1,0.28,1.95,1.1,0.48,0.13,0.17,0.13,0.2275,-0.8725,0.185033658,-0.601288011,-0.786321669
-0.08,-0.39,-0.45,0.08,-0.21,0.48,0.29,0.45,-0.09,0.2825,0.4925,0.439149728,0.33028318,-0.108866548
0.54,0.64,0.3,0.28,0.44,0.41,0.39,0.29,1.05,0.535,0.095,-0.12204025,-0.070189091,0.051851159
-0.13,0.36,0.29,-0.25,0.0675,1.23,0.72,0.5,0.31,0.69,0.6225,0.202609986,-0.297913056,-0.500523042
-2.41,-1.76,-1.58,-1.32,-1.7675,-1.08,-0.85,-0.93,-0.68,-0.885,0.8825,0.924377991,0.284715631,-0.63966236
-0.02,0.07,-0.42,0.02,-0.0875,0.22,0.12,0.29,0.77,0.35,0.4375,-0.386463376,0.169300195,0.555763571
-0.84,-0.45,-1.54,1.16,-0.4175,0.66,0.86,0.57,1.05,0.785,1.2025,-0.473600397,-0.98139627,-0.507795873
-0.44,-0.31,-0.26,-0.25,-0.315,-0.16,-0.08,-0.05,0,-0.0725,0.2425,-0.23252693,0.078903654,0.311430584
2.14,1.95,-1.15,0.56,0.875,1.92,1.68,-0.2,1.73,1.2825,0.4075,1.068778408,-0.347023145,-1.415801553
-0.14,-0.15,-0.19,-0.36,-0.21,0.02,0.01,-0.02,0.14,0.0375,0.2475,0.332299489,-0.471158386,-0.803457875
0.69,-0.14,-0.07,1.72,0.55,0.55,0.43,0.28,1.72,0.745,0.195,0.195312772,-0.519396608,-0.71470938
1.04,0.12,-0.26,1.2,0.525,2.8,1.57,0.91,3.45,2.1825,1.6575,0.613834882,-0.183816312,-0.797651194